2019-11-08 20:38:56,400 | ERROR | tp1988699020-970 | RouteEventNotifier               | v1-documents-retrieveDocumentByFilter |  | Txid :  |  |  | nfttestpet0470@amdocs.com |  |  |  | 361 - bil-core - 1.0.0.SNAPSHOT | Exchange ID-esb-document-667d6657c9-bggkh-35548-1573024136869-9-99884 failed for API null 
2019-11-08 20:38:56,401 | ERROR | tp1988699020-970 | RouteEventNotifier               | v1-documents-retrieveDocumentByFilter |  | Txid :  |  |  | nfttestpet0470@amdocs.com |  |  |  | 361 - bil-core - 1.0.0.SNAPSHOT | Exchange ID-esb-document-667d6657c9-bggkh-35548-1573024136869-1-85637 failed for API null 
2019-11-08 20:38:56,402 | ERROR | tp1988699020-970 | RouteEventNotifier               | v1-documents-retrieveDocumentByFilter |  | Txid :  |  |  | nfttestpet0470@amdocs.com |  |  |  | 361 - bil-core - 1.0.0.SNAPSHOT | Exchange ID-esb-document-667d6657c9-bggkh-35548-1573024136869-0-114154 failed for API null 
2019-11-08 20:38:56,403 | ERROR | tp1988699020-970 | RouteEventNotifier               | v1-documents-retrieveDocumentByFilter |  | Txid :  |  |  | nfttestpet0470@amdocs.com |  |  |  | 361 - bil-core - 1.0.0.SNAPSHOT | Exchange ID-esb-document-667d6657c9-bggkh-35548-1573024136869-0-114153 failed for API null 
2019-11-08 20:38:56,404 | ERROR | tp1988699020-970 | RouteEventNotifier               | v1-documents-retrieveDocumentByFilter |  | Txid :  |  |  | nfttestpet0470@amdocs.com |  |  |  | 361 - bil-core - 1.0.0.SNAPSHOT | Exchange ID-esb-document-667d6657c9-bggkh-35548-1573024136869-0-114151 failed for API null 
2019-11-08 20:38:56,405 | ERROR | tp1988699020-970 | RouteEventNotifier               | v1-documents-retrieveDocumentByFilter |  | Txid :  |  |  | nfttestpet0470@amdocs.com |  |  |  | 361 - bil-core - 1.0.0.SNAPSHOT | Exchange ID-esb-document-667d6657c9-bggkh-35548-1573024136869-1-85636 failed for API null 
2019-11-08 20:38:56,405 | ERROR | tp1988699020-970 | RouteEventNotifier               | v1-documents-retrieveDocumentByFilter |  | Txid :  |  |  | nfttestpet0470@amdocs.com |  |  |  | 361 - bil-core - 1.0.0.SNAPSHOT | Exchange ID-esb-document-667d6657c9-bggkh-35548-1573024136869-1-85632 failed for API null 
2019-11-08 20:38:56,406 | ERROR | tp1988699020-970 | RouteEventNotifier               | v1-documents-retrieveDocumentByFilter |  | Txid :  |  |  | nfttestpet0470@amdocs.com |  |  |  | 361 - bil-core - 1.0.0.SNAPSHOT | Exchange ID-esb-document-667d6657c9-bggkh-35548-1573024136869-3-14270 failed for API null 
2019-11-08 20:38:56,407 | ERROR | tp1988699020-970 | uteClaimInformationPointProvider | v1-documents-retrieveDocumentByFilter |  | Txid :  |  |  | nfttestpet0470@amdocs.com |  |  |  | 331 - com.amdocs.sso.keycloak-adapter-custom - 4.8.3.Final-redhat-00001 | No response received from direct-vm:accountSegmentLookup
2019-11-08 20:38:57,198 | ERROR | tp1988699020-424 | RouteEventNotifier               | v1-documents-retrieveDocumentByFilter |  | Txid :  |  |  | nfttestpet0484@amdocs.com |  |  |  | 361 - bil-core - 1.0.0.SNAPSHOT | Exchange ID-esb-document-667d6657c9-bggkh-35548-1573024136869-13-42821 failed for API null 
2019-11-08 20:38:57,200 | ERROR | tp1988699020-424 | RouteEventNotifier               | v1-documents-retrieveDocumentByFilter |  | Txid :  |  |  | nfttestpet0484@amdocs.com |  |  |  | 361 - bil-core - 1.0.0.SNAPSHOT | Exchange ID-esb-document-667d6657c9-bggkh-35548-1573024136869-13-42819 failed for API null 
